solver,nu,error,valid
exponax,0.001,0.12425095587968826,True
phiflow,0.001,0.11460328847169876,True
xlb,0.001,0.11872772872447968,True
ins_jl,0.001,0.11267081648111343,True
warp_ns,0.001,0.12155016511678696,True
openfoam,0.001,0.11834203451871872,True
pict,0.001,0.11647094786167145,True
exponax,0.01,0.1218588724732399,True
phiflow,0.01,0.11415503174066544,True
xlb,0.01,0.11833448708057404,True
ins_jl,0.01,0.11234300583600998,True
warp_ns,0.01,0.11937092989683151,True
openfoam,0.01,0.11614465713500977,True
pict,0.01,0.11432933062314987,True
exponax,0.05,0.11408758908510208,True
phiflow,0.05,0.11479712277650833,True
xlb,0.05,0.11964423954486847,True
ins_jl,0.05,0.11347278952598572,True
warp_ns,0.05,0.11229945719242096,True
openfoam,0.05,0.10915409028530121,True
pict,0.05,0.1075257956981659,True
