solver,N,error,valid
exponax,8,0.002544011687859893,True
phiflow,8,0.14681509137153625,True
xlb,8,0.27312642335891724,True
ins_jl,8,0.14681477844715118,True
warp_ns,8,0.0034062345512211323,True
openfoam,8,0.0029038949869573116,True
pict,8,0.0029038507491350174,True
exponax,16,0.0025440079625695944,True
phiflow,16,0.03858182951807976,True
xlb,16,0.07410091906785965,True
ins_jl,16,0.03858112916350365,True
warp_ns,16,0.002610937226563692,True
openfoam,16,0.0025006902869790792,True
pict,16,0.0025006092619150877,True
exponax,32,0.0025440827012062073,True
phiflow,32,0.010378758423030376,True
xlb,32,0.019093619659543037,True
ins_jl,32,0.010378108359873295,True
warp_ns,32,0.002544293412938714,True
openfoam,32,0.002507800003513694,True
pict,32,0.0025074766017496586,True
