solver,nu,diagnostic,value
exponax,0.001,divergence_rms,0.0003283250262029469
exponax,0.001,kinetic_energy,0.12484913319349289
exponax,0.001,analytic_error,0.049926310777664185
phiflow,0.001,divergence_rms,0.00035386913805268705
phiflow,0.001,kinetic_energy,0.11554525792598724
phiflow,0.001,analytic_error,0.05771039053797722
xlb,0.001,divergence_rms,0.004088277462869883
xlb,0.001,kinetic_energy,0.11477377265691757
xlb,0.001,analytic_error,0.06114397197961807
ins_jl,0.001,divergence_rms,0.00033907100441865623
ins_jl,0.001,kinetic_energy,0.1155015379190445
ins_jl,0.001,analytic_error,0.05718694254755974
warp_ns,0.001,divergence_rms,0.000919856654945761
warp_ns,0.001,kinetic_energy,0.12486652284860611
warp_ns,0.001,analytic_error,0.048699017614126205
openfoam,0.001,divergence_rms,0.012093334458768368
openfoam,0.001,kinetic_energy,0.12467937171459198
openfoam,0.001,analytic_error,0.04838446527719498
pict,0.001,divergence_rms,0.0008834886248223484
pict,0.001,kinetic_energy,0.12481377273797989
pict,0.001,analytic_error,0.046804994344711304
exponax,0.01,divergence_rms,0.0003221305669285357
exponax,0.01,kinetic_energy,0.12350624799728394
exponax,0.01,analytic_error,0.04956355690956116
phiflow,0.01,divergence_rms,0.00034759388654492795
phiflow,0.01,kinetic_energy,0.11431833356618881
phiflow,0.01,analytic_error,0.05858205258846283
xlb,0.01,divergence_rms,0.004031410440802574
xlb,0.01,kinetic_energy,0.11351068317890167
xlb,0.01,analytic_error,0.062131330370903015
ins_jl,0.01,divergence_rms,0.0003330994804855436
ins_jl,0.01,kinetic_energy,0.11427576839923859
ins_jl,0.01,analytic_error,0.05808207765221596
warp_ns,0.01,divergence_rms,0.0009105872013606131
warp_ns,0.01,kinetic_energy,0.12354019284248352
warp_ns,0.01,analytic_error,0.04839034378528595
openfoam,0.01,divergence_rms,0.011694624088704586
openfoam,0.01,kinetic_energy,0.1233588457107544
openfoam,0.01,analytic_error,0.04799593612551689
pict,0.01,divergence_rms,0.000871325726620853
pict,0.01,kinetic_energy,0.1234915629029274
pict,0.01,analytic_error,0.04647530987858772
exponax,0.05,divergence_rms,0.0002962142461910844
exponax,0.05,kinetic_energy,0.11771055310964584
exponax,0.05,analytic_error,0.048805247992277145
phiflow,0.05,divergence_rms,0.0003209789574611932
phiflow,0.05,kinetic_energy,0.1090172827243805
phiflow,0.05,analytic_error,0.06287399679422379
xlb,0.05,divergence_rms,0.003848401829600334
xlb,0.05,kinetic_energy,0.10811111330986023
xlb,0.05,analytic_error,0.06684479117393494
ins_jl,0.05,divergence_rms,0.0003078145382460207
ins_jl,0.05,kinetic_energy,0.10898300260305405
ins_jl,0.05,analytic_error,0.062457647174596786
warp_ns,0.05,divergence_rms,0.0008704817155376077
warp_ns,0.05,kinetic_energy,0.11781045794487
warp_ns,0.05,analytic_error,0.047816503793001175
openfoam,0.05,divergence_rms,0.01010345108807087
openfoam,0.05,kinetic_energy,0.11766106635332108
openfoam,0.05,analytic_error,0.047124795615673065
pict,0.05,divergence_rms,0.0008193901157937944
pict,0.05,kinetic_energy,0.11777587234973907
pict,0.05,analytic_error,0.04584399238228798
exponax,0.1,divergence_rms,0.0002667246153578162
exponax,0.1,kinetic_energy,0.11084811389446259
exponax,0.1,analytic_error,0.049808569252491
phiflow,0.1,divergence_rms,0.0002904971188399941
phiflow,0.1,kinetic_energy,0.10272767394781113
phiflow,0.1,analytic_error,0.06902829557657242
xlb,0.1,divergence_rms,0.0036553479731082916
xlb,0.1,kinetic_energy,0.10175084322690964
xlb,0.1,analytic_error,0.07347302883863449
ins_jl,0.1,divergence_rms,0.00027891056379303336
ins_jl,0.1,kinetic_energy,0.10271109640598297
ins_jl,0.1,analytic_error,0.06866469234228134
warp_ns,0.1,divergence_rms,0.0008227753569371998
warp_ns,0.1,kinetic_energy,0.11101280152797699
warp_ns,0.1,analytic_error,0.04893001168966293
openfoam,0.1,divergence_rms,0.008467664942145348
openfoam,0.1,kinetic_energy,0.11091563105583191
openfoam,0.1,analytic_error,0.047964200377464294
pict,0.1,divergence_rms,0.00075919070513919
pict,0.1,kinetic_energy,0.11101242154836655
pict,0.1,analytic_error,0.04694030061364174
