solver,steps,diagnostic,value
exponax,5,divergence_rms,1.991363569686655e-05
exponax,5,kinetic_energy,0.12313858419656754
exponax,5,analytic_error,0.012609736062586308
phiflow,5,divergence_rms,1.8088967408402823e-05
phiflow,5,kinetic_energy,0.1139674261212349
phiflow,5,analytic_error,0.04175950214266777
xlb,5,divergence_rms,0.007584033068269491
xlb,5,kinetic_energy,0.11095435172319412
xlb,5,analytic_error,0.0550123006105423
ins_jl,5,divergence_rms,2.06323602469638e-05
ins_jl,5,kinetic_energy,0.11396395415067673
ins_jl,5,analytic_error,0.04172151908278465
warp_ns,5,divergence_rms,0.0009109010570682585
warp_ns,5,kinetic_energy,0.12316150963306427
warp_ns,5,analytic_error,0.012364446185529232
openfoam,5,divergence_rms,0.003305587684735656
openfoam,5,kinetic_energy,0.12314832210540771
openfoam,5,analytic_error,0.012301583774387836
pict,5,divergence_rms,0.0008582101436331868
pict,5,kinetic_energy,0.12315521389245987
pict,5,analytic_error,0.011855222284793854
exponax,10,divergence_rms,7.75191219872795e-05
exponax,10,kinetic_energy,0.12130405008792877
exponax,10,analytic_error,0.02494540996849537
phiflow,10,divergence_rms,7.951561565278098e-05
phiflow,10,kinetic_energy,0.11229358613491058
phiflow,10,analytic_error,0.04763342812657356
xlb,10,divergence_rms,0.00959823653101921
xlb,10,kinetic_energy,0.1117839589715004
xlb,10,analytic_error,0.05091838911175728
ins_jl,10,divergence_rms,8.05953168310225e-05
ins_jl,10,kinetic_energy,0.11228340119123459
ins_jl,10,analytic_error,0.04749419912695885
warp_ns,10,divergence_rms,0.000897302117664367
warp_ns,10,kinetic_energy,0.12135066837072372
warp_ns,10,analytic_error,0.024422451853752136
openfoam,10,divergence_rms,0.006025186274200678
openfoam,10,kinetic_energy,0.12130680680274963
openfoam,10,analytic_error,0.024234969168901443
pict,10,divergence_rms,0.0008452301262877882
pict,10,kinetic_energy,0.12133685499429703
pict,10,analytic_error,0.02341781184077263
exponax,20,divergence_rms,0.0002962142461910844
exponax,20,kinetic_energy,0.11771055310964584
exponax,20,analytic_error,0.048805247992277145
phiflow,20,divergence_rms,0.0003209789574611932
phiflow,20,kinetic_energy,0.1090172827243805
phiflow,20,analytic_error,0.06287399679422379
xlb,20,divergence_rms,0.003848401829600334
xlb,20,kinetic_energy,0.10811111330986023
xlb,20,analytic_error,0.06684479117393494
ins_jl,20,divergence_rms,0.0003078145382460207
ins_jl,20,kinetic_energy,0.10898300260305405
ins_jl,20,analytic_error,0.062457647174596786
warp_ns,20,divergence_rms,0.0008704817155376077
warp_ns,20,kinetic_energy,0.11781045794487
warp_ns,20,analytic_error,0.047816503793001175
openfoam,20,divergence_rms,0.01010345108807087
openfoam,20,kinetic_energy,0.11766106635332108
openfoam,20,analytic_error,0.047124795615673065
pict,20,divergence_rms,0.0008193901157937944
pict,20,kinetic_energy,0.11777587234973907
pict,20,analytic_error,0.04584399238228798
exponax,50,divergence_rms,0.001650988357141614
exponax,50,kinetic_energy,0.10746517777442932
exponax,50,analytic_error,0.11408503353595734
phiflow,50,divergence_rms,0.0018299558432772756
phiflow,50,kinetic_energy,0.09970195591449738
phiflow,50,analytic_error,0.11479712277650833
xlb,50,divergence_rms,0.0031604133546352386
xlb,50,kinetic_energy,0.09853862971067429
xlb,50,analytic_error,0.11964423954486847
ins_jl,50,divergence_rms,0.001684572664089501
ins_jl,50,kinetic_energy,0.09953607618808746
ins_jl,50,analytic_error,0.11347278952598572
warp_ns,50,divergence_rms,0.0008113974472507834
warp_ns,50,kinetic_energy,0.10777250677347183
warp_ns,50,analytic_error,0.11229945719242096
openfoam,50,divergence_rms,0.014970947988331318
openfoam,50,kinetic_energy,0.1071341335773468
openfoam,50,analytic_error,0.10915409028530121
pict,50,divergence_rms,0.0007541531813330948
pict,50,kinetic_energy,0.10763663798570633
pict,50,analytic_error,0.1075257956981659
