solver,nu,error,valid
jax_cfd,0.001,1.03253972530365,True
phiflow,0.001,1.0325430631637573,True
ins_jl,0.001,1.0325603485107422,True
openfoam,0.001,1.032698392868042,True
pict,0.001,1.0327173471450806,True
xlb,0.001,1.0325523614883423,True
warp_ns,0.001,1.0327013731002808,True
jax_cfd,0.005,1.0320035219192505,True
phiflow,0.005,1.0320051908493042,True
ins_jl,0.005,1.032022476196289,True
openfoam,0.005,1.0321617126464844,True
pict,0.005,1.0321733951568604,True
xlb,0.005,1.0319997072219849,True
warp_ns,0.005,1.0321578979492188,True
jax_cfd,0.01,1.031374454498291,True
phiflow,0.01,1.031373381614685,True
ins_jl,0.01,1.0313917398452759,True
openfoam,0.01,1.0315299034118652,True
pict,0.01,1.0315371751785278,True
xlb,0.01,1.0313642024993896,True
warp_ns,0.01,1.0315195322036743,True
jax_cfd,0.02,1.0302400588989258,True
phiflow,0.02,1.0302302837371826,True
ins_jl,0.02,1.0302554368972778,True
openfoam,0.02,1.0303926467895508,True
pict,0.02,1.0303939580917358,True
xlb,0.02,1.030221700668335,True
warp_ns,0.02,1.030365228652954,True
jax_cfd,0.05,1.0276103019714355,True
phiflow,0.05,1.027566909790039,True
ins_jl,0.05,1.0276265144348145,True
openfoam,0.05,1.0277774333953857,True
pict,0.05,1.0277678966522217,True
xlb,0.05,1.0275862216949463,True
warp_ns,0.05,1.0276782512664795,True
