solver,nu,error,valid
jax_cfd,0.001,0.004780176095664501,True
phiflow,0.001,0.0024061237927526236,True
ins_jl,0.001,0.0024060287978500128,True
openfoam,0.001,0.005467766895890236,True
pict,0.001,0.0006398307159543037,True
xlb,0.001,0.026836449280381203,True
warp_ns,0.001,0.0006177144823595881,True
jax_cfd,0.005,0.004739203490316868,True
phiflow,0.005,0.0024021179415285587,True
ins_jl,0.005,0.002399632940068841,True
openfoam,0.005,0.003040629206225276,True
pict,0.005,0.0005890580359846354,True
xlb,0.005,0.026196245104074478,True
warp_ns,0.005,0.0006095845601521432,True
jax_cfd,0.01,0.004691517911851406,True
phiflow,0.01,0.002401591744273901,True
ins_jl,0.01,0.0023916244972497225,True
openfoam,0.01,0.001873291446827352,True
pict,0.01,0.0005860829842276871,True
xlb,0.01,0.02599168010056019,True
warp_ns,0.01,0.0006017496925778687,True
jax_cfd,0.02,0.00460533844307065,True
phiflow,0.02,0.0024154861457645893,True
ins_jl,0.02,0.0023755996953696012,True
openfoam,0.02,0.0011047405423596501,True
pict,0.02,0.0008662319160066545,True
xlb,0.02,0.025973644107580185,True
warp_ns,0.02,0.0005940092378295958,True
jax_cfd,0.05,0.004407346714287996,True
phiflow,0.05,0.0025773602537810802,True
ins_jl,0.05,0.002327551366761327,True
openfoam,0.05,0.00047656730748713017,True
pict,0.05,0.002810623962432146,True
xlb,0.05,0.030895644798874855,True
warp_ns,0.05,0.0006526687648147345,True
