solver,nu,error,valid
jax_cfd,0.05,,False
phiflow,0.05,0.23019932210445404,True
ins_jl,0.05,,False
openfoam,0.05,0.39580509066581726,True
pict,0.05,0.3410468101501465,True
xlb,0.05,0.2900649905204773,True
warp_ns,0.05,,False
jax_cfd,0.02,,False
phiflow,0.02,0.16159498691558838,True
ins_jl,0.02,,False
openfoam,0.02,0.28574177622795105,True
pict,0.02,0.23579387366771698,True
xlb,0.02,0.23298616707324982,True
warp_ns,0.02,,False
jax_cfd,0.01,,False
phiflow,0.01,0.2002236545085907,True
ins_jl,0.01,,False
openfoam,0.01,0.22110742330551147,True
pict,0.01,0.17543472349643707,True
xlb,0.01,0.2349349856376648,True
warp_ns,0.01,,False
jax_cfd,0.005,,False
phiflow,0.005,0.17406748235225677,True
ins_jl,0.005,,False
openfoam,0.005,0.18292136490345,True
pict,0.005,0.14431992173194885,True
xlb,0.005,0.2302071750164032,True
warp_ns,0.005,,False
