solver,N,diagnostic,value
jax_cfd,16,divergence_rms,0.0022867145016789436
jax_cfd,16,kinetic_energy,0.22125837206840515
jax_cfd,16,analytic_error,0.040338948369026184
phiflow,16,divergence_rms,1.0714379072851443e-07
phiflow,16,kinetic_energy,0.2223706990480423
phiflow,16,analytic_error,0.0378236286342144
ins_jl,16,divergence_rms,5.1342109230745336e-08
ins_jl,16,kinetic_energy,0.2223750352859497
ins_jl,16,analytic_error,0.037814244627952576
openfoam,16,divergence_rms,0.018084511160850525
openfoam,16,kinetic_energy,0.23987068235874176
openfoam,16,analytic_error,0.014129186980426311
pict,16,divergence_rms,0.0013749550562351942
pict,16,kinetic_energy,0.24025656282901764
pict,16,analytic_error,0.0011438950896263123
xlb,16,divergence_rms,0.003967590630054474
xlb,16,kinetic_energy,0.2311222106218338
xlb,16,analytic_error,0.01941460371017456
warp_ns,16,divergence_rms,0.0019740231800824404
warp_ns,16,kinetic_energy,0.24022525548934937
warp_ns,16,analytic_error,0.001595260458998382
jax_cfd,32,divergence_rms,0.0003749839961528778
jax_cfd,32,kinetic_energy,0.23532459139823914
jax_cfd,32,analytic_error,0.01022282987833023
phiflow,32,divergence_rms,1.2648020231154078e-07
phiflow,32,kinetic_energy,0.2356298565864563
phiflow,32,analytic_error,0.009553734213113785
ins_jl,32,divergence_rms,6.221837622888415e-08
ins_jl,32,kinetic_energy,0.23563435673713684
ins_jl,32,analytic_error,0.009543807245790958
openfoam,32,divergence_rms,0.004149219486862421
openfoam,32,kinetic_energy,0.24011051654815674
openfoam,32,analytic_error,0.003046654397621751
pict,32,divergence_rms,0.0003471954260021448
pict,32,kinetic_energy,0.24021533131599426
pict,32,analytic_error,0.0002693090063985437
xlb,32,divergence_rms,0.03651927411556244
xlb,32,kinetic_energy,0.23680183291435242
xlb,32,analytic_error,0.02778424322605133
warp_ns,32,divergence_rms,0.0004943068488501012
warp_ns,32,kinetic_energy,0.24020043015480042
warp_ns,32,analytic_error,0.0003687695134431124
jax_cfd,64,divergence_rms,3.105651558144018e-05
jax_cfd,64,kinetic_energy,0.23885317146778107
jax_cfd,64,analytic_error,0.002833780599758029
phiflow,64,divergence_rms,2.039770237161065e-07
phiflow,64,kinetic_energy,0.23904499411582947
phiflow,64,analytic_error,0.0024015826638787985
ins_jl,64,divergence_rms,1.1459653848078233e-07
ins_jl,64,kinetic_energy,0.23904982209205627
ins_jl,64,analytic_error,0.002391624730080366
openfoam,64,divergence_rms,0.0004292054218240082
openfoam,64,kinetic_energy,0.24019202589988708
openfoam,64,analytic_error,0.0003109773970209062
pict,64,divergence_rms,9.407405013917014e-05
pict,64,kinetic_energy,0.2402050793170929
pict,64,analytic_error,6.12262956565246e-05
xlb,64,divergence_rms,0.04163702204823494
xlb,64,kinetic_energy,0.23913931846618652
xlb,64,analytic_error,0.030285632237792015
warp_ns,64,divergence_rms,0.00012368062743917108
warp_ns,64,kinetic_energy,0.24019452929496765
warp_ns,64,analytic_error,9.066981147043407e-05
jax_cfd,128,divergence_rms,1.9300964595458936e-06
jax_cfd,128,kinetic_energy,0.2397269606590271
jax_cfd,128,analytic_error,0.0010600645327940583
phiflow,128,divergence_rms,4.423527002472838e-07
phiflow,128,kinetic_energy,0.2399052381515503
phiflow,128,analytic_error,0.0006082652253098786
ins_jl,128,divergence_rms,2.324651120488852e-07
ins_jl,128,kinetic_energy,0.2399100363254547
ins_jl,128,analytic_error,0.0005982660804875195
openfoam,128,divergence_rms,2.778195084829349e-05
openfoam,128,kinetic_energy,0.24020735919475555
openfoam,128,analytic_error,3.244381514377892e-05
pict,128,divergence_rms,0.00010090928844874725
pict,128,kinetic_energy,0.24015945196151733
pict,128,analytic_error,8.64855173858814e-05
xlb,128,divergence_rms,0.042063817381858826
xlb,128,kinetic_energy,0.239717498421669
xlb,128,analytic_error,0.030366530641913414
warp_ns,128,divergence_rms,3.09292518068105e-05
warp_ns,128,kinetic_energy,0.24019303917884827
warp_ns,128,analytic_error,2.4246573957498185e-05
