solver,nu,diagnostic,value
jax_cfd,0.001,divergence_rms,8.235431596403942e-05
jax_cfd,0.001,kinetic_energy,0.2483959197998047
jax_cfd,0.001,analytic_error,0.002852517180144787
phiflow,0.001,divergence_rms,6.771550715711783e-07
phiflow,0.001,kinetic_energy,0.24859875440597534
phiflow,0.001,analytic_error,0.002407283987849951
ins_jl,0.001,divergence_rms,1.4115998681063502e-07
ins_jl,0.001,kinetic_energy,0.24859875440597534
ins_jl,0.001,analytic_error,0.0024072914384305477
openfoam,0.001,divergence_rms,0.001755636534653604
openfoam,0.001,kinetic_energy,0.24975310266017914
openfoam,0.001,analytic_error,0.0012476540869101882
pict,0.001,divergence_rms,0.00011577926488826051
pict,0.001,kinetic_energy,0.24979433417320251
pict,0.001,analytic_error,7.352786633418873e-05
xlb,0.001,divergence_rms,0.04377437010407448
xlb,0.001,kinetic_energy,0.24902412295341492
xlb,0.001,analytic_error,0.030052529647946358
warp_ns,0.001,divergence_rms,0.00012837094254791737
warp_ns,0.001,kinetic_energy,0.24979418516159058
warp_ns,0.001,analytic_error,9.289011359214783e-05
jax_cfd,0.005,divergence_rms,7.364775956375524e-05
jax_cfd,0.005,kinetic_energy,0.24760323762893677
jax_cfd,0.005,analytic_error,0.002850152784958482
phiflow,0.005,divergence_rms,2.6051313284369826e-07
phiflow,0.005,kinetic_energy,0.24780520796775818
phiflow,0.005,analytic_error,0.002406116807833314
ins_jl,0.005,divergence_rms,1.3160146750124113e-07
ins_jl,0.005,kinetic_energy,0.24780523777008057
ins_jl,0.005,analytic_error,0.0024060283321887255
openfoam,0.005,divergence_rms,0.001491610542871058
openfoam,0.005,kinetic_energy,0.24896042048931122
openfoam,0.005,analytic_error,0.0010621638502925634
pict,0.005,divergence_rms,0.00010706938337534666
pict,0.005,kinetic_energy,0.2489965260028839
pict,0.005,analytic_error,7.105806434992701e-05
xlb,0.005,divergence_rms,0.041591569781303406
xlb,0.005,kinetic_energy,0.24793483316898346
xlb,0.005,analytic_error,0.02911408059298992
warp_ns,0.005,divergence_rms,0.00012797927774954587
warp_ns,0.005,kinetic_energy,0.24899670481681824
warp_ns,0.005,analytic_error,9.260825027013198e-05
jax_cfd,0.01,divergence_rms,6.469047366408631e-05
jax_cfd,0.01,kinetic_energy,0.24661576747894287
jax_cfd,0.01,analytic_error,0.002847405383363366
phiflow,0.01,divergence_rms,2.4157600364560494e-07
phiflow,0.01,kinetic_energy,0.24681657552719116
phiflow,0.01,analytic_error,0.0024048155173659325
ins_jl,0.01,divergence_rms,1.2390442805099156e-07
ins_jl,0.01,kinetic_energy,0.2468167543411255
ins_jl,0.01,analytic_error,0.0024044218007475138
openfoam,0.01,divergence_rms,0.0012347996234893799
openfoam,0.01,kinetic_energy,0.24797214567661285
openfoam,0.01,analytic_error,0.0008814573520794511
pict,0.01,divergence_rms,0.00010137630306417122
pict,0.01,kinetic_energy,0.24800553917884827
pict,0.01,analytic_error,6.912630487931892e-05
xlb,0.01,divergence_rms,0.0406334288418293
xlb,0.01,kinetic_energy,0.2468704879283905
xlb,0.01,analytic_error,0.028794020414352417
warp_ns,0.01,divergence_rms,0.00012749452434945852
warp_ns,0.01,kinetic_energy,0.24800333380699158
warp_ns,0.01,analytic_error,9.229783609043807e-05
jax_cfd,0.05,divergence_rms,3.105651558144018e-05
jax_cfd,0.05,kinetic_energy,0.23885317146778107
jax_cfd,0.05,analytic_error,0.002833780599758029
phiflow,0.05,divergence_rms,2.00898540470007e-07
phiflow,0.05,kinetic_energy,0.23904499411582947
phiflow,0.05,analytic_error,0.0024015826638787985
ins_jl,0.05,divergence_rms,1.1459653848078233e-07
ins_jl,0.05,kinetic_energy,0.23904982209205627
ins_jl,0.05,analytic_error,0.002391624730080366
openfoam,0.05,divergence_rms,0.0004292054218240082
openfoam,0.05,kinetic_energy,0.24019202589988708
openfoam,0.05,analytic_error,0.0003109773970209062
pict,0.05,divergence_rms,9.407405013917014e-05
pict,0.05,kinetic_energy,0.2402050793170929
pict,0.05,analytic_error,6.12262956565246e-05
xlb,0.05,divergence_rms,0.04163702204823494
xlb,0.05,kinetic_energy,0.23913931846618652
xlb,0.05,analytic_error,0.030285632237792015
warp_ns,0.05,divergence_rms,0.00012368062743917108
warp_ns,0.05,kinetic_energy,0.24019452929496765
warp_ns,0.05,analytic_error,9.066981147043407e-05
jax_cfd,0.1,divergence_rms,1.8453354641678743e-05
jax_cfd,0.1,kinetic_energy,0.22948428988456726
jax_cfd,0.1,analytic_error,0.0028360087890177965
phiflow,0.1,divergence_rms,1.8324766415389604e-07
phiflow,0.1,kinetic_energy,0.2296655923128128
phiflow,0.1,analytic_error,0.0024154887069016695
ins_jl,0.1,divergence_rms,1.1438073244107727e-07
ins_jl,0.1,kinetic_energy,0.22968393564224243
ins_jl,0.1,analytic_error,0.0023755996953696012
openfoam,0.1,divergence_rms,0.00021213546278886497
openfoam,0.1,kinetic_energy,0.23079930245876312
openfoam,0.1,analytic_error,0.00016305240569636226
pict,0.1,divergence_rms,8.010670717339963e-05
pict,0.1,kinetic_energy,0.2307971715927124
pict,0.1,analytic_error,6.470803782576695e-05
xlb,0.1,divergence_rms,0.04044773429632187
xlb,0.1,kinetic_energy,0.22982677817344666
xlb,0.1,analytic_error,0.0300064068287611
warp_ns,0.1,divergence_rms,0.0001190653201774694
warp_ns,0.1,kinetic_energy,0.2307700216770172
warp_ns,0.1,analytic_error,9.096543362829834e-05
