solver,steps,diagnostic,value
jax_cfd,5,divergence_rms,2.21116697503021e-05
jax_cfd,5,kinetic_energy,0.24627259373664856
jax_cfd,5,analytic_error,0.0025104267988353968
phiflow,5,divergence_rms,2.0422741897618835e-07
phiflow,5,kinetic_energy,0.24632275104522705
phiflow,5,analytic_error,0.0024061023723334074
ins_jl,5,divergence_rms,1.198588392981037e-07
ins_jl,5,kinetic_energy,0.2463240623474121
ins_jl,5,analytic_error,0.002403613179922104
openfoam,5,divergence_rms,0.00027723409584723413
openfoam,5,kinetic_energy,0.2475094497203827
openfoam,5,analytic_error,0.00019612071628216654
pict,5,divergence_rms,9.036369738169014e-05
pict,5,kinetic_energy,0.24751442670822144
pict,5,analytic_error,5.7226083299610764e-05
xlb,5,divergence_rms,0.038809411227703094
xlb,5,kinetic_energy,0.246688574552536
xlb,5,analytic_error,0.027833769097924232
warp_ns,5,divergence_rms,0.0001274467067560181
warp_ns,5,kinetic_energy,0.24751192331314087
warp_ns,5,analytic_error,9.119268361246213e-05
jax_cfd,10,divergence_rms,2.8106125682825223e-05
jax_cfd,10,kinetic_energy,0.24377375841140747
jax_cfd,10,analytic_error,0.0026164979208260775
phiflow,10,divergence_rms,1.9918827831588715e-07
phiflow,10,kinetic_energy,0.24387255311012268
phiflow,10,analytic_error,0.002404614118859172
ins_jl,10,divergence_rms,1.179389883532167e-07
ins_jl,10,kinetic_energy,0.24387508630752563
ins_jl,10,analytic_error,0.0023996324744075537
openfoam,10,divergence_rms,0.0003792698262259364
openfoam,10,kinetic_energy,0.2450464367866516
openfoam,10,analytic_error,0.0002717172319535166
pict,10,divergence_rms,8.427908323938027e-05
pict,10,kinetic_energy,0.24505357444286346
pict,10,analytic_error,5.752459401264787e-05
xlb,10,divergence_rms,0.032145917415618896
xlb,10,kinetic_energy,0.2436581254005432
xlb,10,analytic_error,0.02334197796881199
warp_ns,10,divergence_rms,0.00012617783795576543
warp_ns,10,kinetic_energy,0.24504834413528442
warp_ns,10,analytic_error,9.089981904253364e-05
jax_cfd,20,divergence_rms,3.105651558144018e-05
jax_cfd,20,kinetic_energy,0.23885317146778107
jax_cfd,20,analytic_error,0.002833780599758029
phiflow,20,divergence_rms,1.991897420339228e-07
phiflow,20,kinetic_energy,0.23904499411582947
phiflow,20,analytic_error,0.002401583595201373
ins_jl,20,divergence_rms,1.1459653848078233e-07
ins_jl,20,kinetic_energy,0.23904982209205627
ins_jl,20,analytic_error,0.002391624730080366
openfoam,20,divergence_rms,0.0004292054218240082
openfoam,20,kinetic_energy,0.24019202589988708
openfoam,20,analytic_error,0.0003109773970209062
pict,20,divergence_rms,9.407405013917014e-05
pict,20,kinetic_energy,0.2402050793170929
pict,20,analytic_error,6.12262956565246e-05
xlb,20,divergence_rms,0.04163702204823494
xlb,20,kinetic_energy,0.23913931846618652
xlb,20,analytic_error,0.030285632237792015
warp_ns,20,divergence_rms,0.00012368062743917108
warp_ns,20,kinetic_energy,0.24019452929496765
warp_ns,20,analytic_error,9.066981147043407e-05
jax_cfd,50,divergence_rms,3.312736953375861e-05
jax_cfd,50,kinetic_energy,0.22468982636928558
jax_cfd,50,analytic_error,0.003477540099993348
phiflow,50,divergence_rms,2.0121065347211697e-07
phiflow,50,kinetic_energy,0.22512826323509216
phiflow,50,analytic_error,0.0023925271816551685
ins_jl,50,divergence_rms,1.1375907860156076e-07
ins_jl,50,kinetic_energy,0.22513949871063232
ins_jl,50,analytic_error,0.002367614768445492
openfoam,50,divergence_rms,0.00041421232162974775
openfoam,50,kinetic_energy,0.22619758546352386
openfoam,50,analytic_error,0.00031141957151703537
pict,50,divergence_rms,8.695005089975893e-05
pict,50,kinetic_energy,0.22622793912887573
pict,50,analytic_error,8.024649287108332e-05
xlb,50,divergence_rms,0.03749360144138336
xlb,50,kinetic_energy,0.22540347278118134
xlb,50,analytic_error,0.02812817320227623
warp_ns,50,divergence_rms,0.0001164741042884998
warp_ns,50,kinetic_energy,0.2262026071548462
warp_ns,50,analytic_error,9.215301543008536e-05
jax_cfd,100,divergence_rms,3.798126999754459e-05
jax_cfd,100,kinetic_energy,0.20295479893684387
jax_cfd,100,analytic_error,0.004407346714287996
phiflow,100,divergence_rms,1.9601760925525014e-07
phiflow,100,kinetic_energy,0.2037106156349182
phiflow,100,analytic_error,0.002377366414293647
ins_jl,100,divergence_rms,1.1066475025245381e-07
ins_jl,100,kinetic_energy,0.203730970621109
ins_jl,100,analytic_error,0.0023275481071323156
openfoam,100,divergence_rms,0.00037486269138753414
openfoam,100,kinetic_energy,0.20466506481170654
openfoam,100,analytic_error,0.00030191621044650674
pict,100,divergence_rms,8.649463416077197e-05
pict,100,kinetic_energy,0.20471754670143127
pict,100,analytic_error,0.00012213336594868451
xlb,100,divergence_rms,0.022594241425395012
xlb,100,kinetic_energy,0.20352934300899506
xlb,100,analytic_error,0.017909226939082146
warp_ns,100,divergence_rms,0.00010538320930209011
warp_ns,100,kinetic_energy,0.2046714425086975
warp_ns,100,analytic_error,9.821231651585549e-05
