solver,nu,error,valid
jax_cfd,0.0001,0.004789900500327349,True
phiflow,0.0001,0.0024074262473732233,True
ins_jl,0.0001,0.0024074821267277002,True
openfoam,0.0001,0.0064420136623084545,True
pict,0.0001,0.0006557932938449085,True
xlb,0.0001,0.026958683505654335,True
warp_ns,0.0001,0.0006197799229994416,True
jax_cfd,0.0005,0.004785517696291208,True
phiflow,0.0005,0.00240684044547379,True
ins_jl,0.0005,0.0024068234488368034,True
openfoam,0.0005,0.005979865789413452,True
pict,0.0005,0.0006484899204224348,True
xlb,0.0005,0.02692132256925106,True
warp_ns,0.0005,0.000618847378063947,True
jax_cfd,0.001,0.004780176095664501,True
phiflow,0.001,0.002406120765954256,True
ins_jl,0.001,0.0024060287978500128,True
openfoam,0.001,0.005467766895890236,True
pict,0.001,0.0006398307159543037,True
xlb,0.001,0.026836449280381203,True
warp_ns,0.001,0.0006177144823595881,True
jax_cfd,0.005,0.004739203490316868,True
phiflow,0.005,0.002402119804173708,True
ins_jl,0.005,0.002399632940068841,True
openfoam,0.005,0.003040629206225276,True
pict,0.005,0.0005890580359846354,True
xlb,0.005,0.026196245104074478,True
warp_ns,0.005,0.0006095845601521432,True
jax_cfd,0.01,0.004691517911851406,True
phiflow,0.01,0.0024015905801206827,True
ins_jl,0.01,0.0023916244972497225,True
openfoam,0.01,0.001873291446827352,True
pict,0.01,0.0005860829842276871,True
xlb,0.01,0.02599168010056019,True
warp_ns,0.01,0.0006017496925778687,True
jax_cfd,0.05,0.004407346714287996,True
phiflow,0.05,0.0025773602537810802,True
ins_jl,0.05,0.002327551366761327,True
openfoam,0.05,0.00047656730748713017,True
pict,0.05,0.002810623962432146,True
xlb,0.05,0.030895644798874855,True
warp_ns,0.05,0.0006526687648147345,True
