solver,rho_0,error,valid
jax_fem,0.2,0.0,True
topopt_jl,0.2,0.005530686117708683,True
dealii_structural,0.2,0.0,True
fenics_structural,0.2,0.0,True
firedrake_structural,0.2,0.0,True
jax_fem,0.4,0.0,True
topopt_jl,0.4,0.005530680529773235,True
dealii_structural,0.4,0.0,True
fenics_structural,0.4,0.0,True
firedrake_structural,0.4,0.0,True
jax_fem,0.5,0.0,True
topopt_jl,0.5,0.005530667025595903,True
dealii_structural,0.5,0.0,True
fenics_structural,0.5,0.0,True
firedrake_structural,0.5,0.0,True
jax_fem,0.7,0.0,True
topopt_jl,0.7,0.00553068146109581,True
dealii_structural,0.7,0.0,True
fenics_structural,0.7,0.0,True
firedrake_structural,0.7,0.0,True
jax_fem,0.9,0.0,True
topopt_jl,0.9,0.0055306716822087765,True
dealii_structural,0.9,0.0,True
fenics_structural,0.9,0.0,True
firedrake_structural,0.9,0.0,True
