solver,N,error,valid
jax_fem,4,0.0,True
topopt_jl,4,0.004442238248884678,True
dealii_structural,4,0.0,True
fenics_structural,4,0.0,True
firedrake_structural,4,0.0,True
jax_fem,6,0.0,True
topopt_jl,6,0.005091297905892134,True
dealii_structural,6,0.0,True
fenics_structural,6,0.0,True
firedrake_structural,6,0.0,True
jax_fem,8,0.0,True
topopt_jl,8,0.005530667025595903,True
dealii_structural,8,0.0,True
fenics_structural,8,0.0,True
firedrake_structural,8,0.0,True
jax_fem,12,0.0,True
topopt_jl,12,0.0060629043728113174,True
dealii_structural,12,0.0,True
fenics_structural,12,0.0,True
firedrake_structural,12,0.0,True
jax_fem,16,0.0,True
topopt_jl,16,0.006348176393657923,True
dealii_structural,16,0.0,True
fenics_structural,16,0.0,True
firedrake_structural,16,0.0,True
