solver,field,status,rel_error
jax_fem,input/rho,ok,0.0002798410728901936
jax_fem,input/hex_mesh,not_differentiable,
jax_fem,input/boundary_conditions,not_differentiable,
jax_fem,output/compliance,harness_opaque,
topopt_jl,input/rho,ok,0.0002798410728901936
topopt_jl,input/hex_mesh,not_differentiable,
topopt_jl,input/boundary_conditions,not_differentiable,
topopt_jl,input/E,not_differentiable,
topopt_jl,input/nu,not_differentiable,
topopt_jl,input/xmin,not_differentiable,
topopt_jl,output/compliance,harness_opaque,
dealii_structural,input/rho,ok,0.0002799174904415016
dealii_structural,input/hex_mesh,not_differentiable,
dealii_structural,input/boundary_conditions,not_differentiable,
dealii_structural,input/E_max,not_differentiable,
dealii_structural,input/nu,not_differentiable,
dealii_structural,input/xmin,not_differentiable,
dealii_structural,output/compliance,harness_opaque,
fenics_structural,input/rho,ok,0.0002798410728901936
fenics_structural,input/hex_mesh,not_differentiable,
fenics_structural,input/boundary_conditions,not_differentiable,
fenics_structural,input/E_max,not_differentiable,
fenics_structural,input/nu,not_differentiable,
fenics_structural,input/xmin,not_differentiable,
fenics_structural,output/compliance,harness_opaque,
firedrake_structural,input/rho,ok,0.0002798410728901936
firedrake_structural,input/hex_mesh,not_differentiable,
firedrake_structural,input/boundary_conditions,not_differentiable,
firedrake_structural,input/E_max,not_differentiable,
firedrake_structural,input/nu,not_differentiable,
firedrake_structural,input/xmin,not_differentiable,
firedrake_structural,output/compliance,harness_opaque,
