solver,N,error,valid
jax_fem,2,0.0,True
fenics_heat,2,0.0,True
dealii_heat,2,0.0,True
firedrake_heat,2,0.0,True
torch_fem_thermal,2,0.0,True
jax_fem,3,0.0,True
fenics_heat,3,0.0,True
dealii_heat,3,0.0,True
firedrake_heat,3,0.0,True
torch_fem_thermal,3,0.0,True
jax_fem,4,1.1707336769065277e+31,True
fenics_heat,4,1.1707336769065277e+31,True
dealii_heat,4,1.1707336769065277e+31,True
firedrake_heat,4,1.1707336769065277e+31,True
torch_fem_thermal,4,1.1707336769065277e+31,True
jax_fem,6,0.0,True
fenics_heat,6,0.0,True
dealii_heat,6,6.680672015590972e-08,True
firedrake_heat,6,0.0,True
torch_fem_thermal,6,2.0042016046772915e-07,True
jax_fem,8,0.0,True
fenics_heat,8,0.0,True
dealii_heat,8,0.0,True
firedrake_heat,8,0.0,True
torch_fem_thermal,8,0.0,True
jax_fem,12,0.0,True
fenics_heat,12,0.0,True
dealii_heat,12,0.0,True
firedrake_heat,12,0.0,True
torch_fem_thermal,12,4.009871759080852e-07,True
jax_fem,16,6.215021386424269e-08,True
fenics_heat,16,6.215021386424269e-08,True
dealii_heat,16,6.215021386424269e-08,True
firedrake_heat,16,6.215021386424269e-08,True
torch_fem_thermal,16,6.215021386424269e-08,True
jax_fem,24,6.945231234567473e-08,True
fenics_heat,24,6.945231234567473e-08,True
dealii_heat,24,0.0,True
firedrake_heat,24,6.945231234567473e-08,True
torch_fem_thermal,24,9.028801173371903e-07,True
