solver,N,error,valid
jax_fem,4,0.1900584101676941,True
fenics_heat,4,0.0,True
dealii_heat,4,0.0,True
firedrake_heat,4,0.0,True
torch_fem_thermal,4,0.0,True
jax_fem,6,0.22225020825862885,True
fenics_heat,6,1.06703886615378e-07,True
dealii_heat,6,1.06703886615378e-07,True
firedrake_heat,6,1.06703886615378e-07,True
torch_fem_thermal,6,1.06703886615378e-07,True
jax_fem,8,0.22175411880016327,True
fenics_heat,8,0.0,True
dealii_heat,8,0.0,True
firedrake_heat,8,0.0,True
torch_fem_thermal,8,0.0,True
jax_fem,12,0.22127322852611542,True
fenics_heat,12,0.0,True
dealii_heat,12,0.0,True
firedrake_heat,12,0.0,True
torch_fem_thermal,12,4.270500824077317e-07,True
jax_fem,16,0.22107651829719543,True
fenics_heat,16,0.0,True
dealii_heat,16,0.0,True
firedrake_heat,16,0.0,True
torch_fem_thermal,16,0.0,True
jax_fem,24,0.2209274172782898,True
fenics_heat,24,2.1356657953219838e-07,True
dealii_heat,24,2.1356657953219838e-07,True
firedrake_heat,24,2.1356657953219838e-07,True
torch_fem_thermal,24,6.406997385965951e-07,True
