solver,field,status,rel_error
jax_fem,input/rho,ok,4.631938316948058e-05
jax_fem,input/source,ok,0.0003463338803692574
jax_fem,input/target_temperature,error,
jax_fem,input/hex_mesh,not_differentiable,
jax_fem,input/boundary_conditions,not_differentiable,
jax_fem,output/identification_error,harness_opaque,
jax_fem,output/thermal_compliance,harness_opaque,
fenics_heat,input/rho,ok,4.631938316948058e-05
fenics_heat,input/source,ok,0.0003463338803692574
fenics_heat,input/target_temperature,error,
fenics_heat,input/hex_mesh,not_differentiable,
fenics_heat,input/boundary_conditions,not_differentiable,
fenics_heat,input/k_max,not_differentiable,
fenics_heat,input/p_exp,not_differentiable,
fenics_heat,output/identification_error,harness_opaque,
fenics_heat,output/thermal_compliance,harness_opaque,
firedrake_heat,input/rho,ok,4.631938316948058e-05
firedrake_heat,input/source,ok,0.0003463338803692574
firedrake_heat,input/target_temperature,error,
firedrake_heat,input/hex_mesh,not_differentiable,
firedrake_heat,input/boundary_conditions,not_differentiable,
firedrake_heat,input/k_max,not_differentiable,
firedrake_heat,input/p_exp,not_differentiable,
firedrake_heat,output/identification_error,harness_opaque,
firedrake_heat,output/thermal_compliance,harness_opaque,
torch_fem_thermal,input/rho,ok,4.631938316948058e-05
torch_fem_thermal,input/source,ok,0.0003463338803692574
torch_fem_thermal,input/target_temperature,error,
torch_fem_thermal,input/hex_mesh,not_differentiable,
torch_fem_thermal,input/boundary_conditions,not_differentiable,
torch_fem_thermal,input/k_max,not_differentiable,
torch_fem_thermal,input/p_exp,not_differentiable,
torch_fem_thermal,output/identification_error,harness_opaque,
torch_fem_thermal,output/thermal_compliance,harness_opaque,
